Date,Temperature at 2 meters (c),Precipitation Corrected (mm/day),Specific Humidity at 2 Meters (g/kg),Wind Direction at 2 Meters (Degrees),Wind Speed at 2 Meters (m/s),Root Zone Soil Wetness
25/06/2001,33.03,7.15,17.19,144.0,1.03,0.43
26/06/2001,33.38,2.71,17.4,109.8,1.24,0.44
27/06/2001,34.31,2.74,16.23,168.0,0.86,0.43
28/06/2001,34.57,3.88,15.46,196.5,1.08,0.43
29/06/2001,34.68,2.75,16.84,132.6,1.32,0.43
30/06/2001,33.59,2.79,18.1,154.5,2.39,0.43
01/07/2001,31.65,3.32,19.19,4.7,1.47,0.43
02/07/2001,32.64,0.77,18.83,344.8,0.86,0.43
03/07/2001,32.94,0.11,17.94,108.9,2.53,0.42
04/07/2001,33.8,0.34,18.06,110.4,3.21,0.42
05/07/2001,33.68,9.79,18.85,132.4,1.11,0.43
06/07/2001,34.74,0.44,18.64,247.3,1.26,0.43
07/07/2001,32.72,19.04,20.53,108.7,1.01,0.44
08/07/2001,30.53,0.97,17.99,56.5,2.1,0.45
09/07/2001,33.84,1.66,16.76,98.3,1.51,0.45
10/07/2001,33.72,1.01,18.24,121.9,2.31,0.44
11/07/2001,31.1,2.66,18.19,86.9,3.95,0.44
12/07/2001,31.13,1.76,18.56,95.8,3.06,0.44
13/07/2001,31.58,3.47,19.24,183.3,1.68,0.44
14/07/2001,30.22,15.82,18.69,257.4,3.67,0.45
15/07/2001,30.71,23.29,19.57,251.1,2.95,0.48
16/07/2001,30.8,10.5,19.62,225.3,1.84,0.5
17/07/2001,31.34,1.94,19.04,155.7,1.35,0.5
18/07/2001,32.46,1.31,18.83,25.3,1.39,0.49
19/07/2001,32.32,1.63,18.27,75.8,1.58,0.49
20/07/2001,30.29,3.25,20.01,121.8,2.3,0.48
21/07/2001,31.45,3.4,19.73,188.3,1.62,0.48
22/07/2001,30.14,6.36,20.62,93.8,1.59,0.49
23/07/2001,31.21,0.16,20.42,120.4,2.03,0.49
24/07/2001,31.89,5.33,20.12,123.8,2.28,0.48
25/07/2001,31.65,12.61,20.91,128.1,1.59,0.49
26/07/2001,30.47,13.52,21.6,231.2,0.91,0.51
27/07/2001,30.19,14.35,21.36,265.8,1.83,0.53
28/07/2001,31.18,5.04,20.69,267.4,2.4,0.54
29/07/2001,30.52,0.85,19.58,259.6,2.48,0.53
30/07/2001,29.36,1.62,18.08,275.2,2.0,0.52
31/07/2001,30.95,0.17,18.24,302.5,1.43,0.51
01/08/2001,30.98,0.0,17.13,318.6,1.81,0.51
02/08/2001,31.49,0.77,16.46,282.0,2.37,0.5
03/08/2001,30.94,1.52,17.59,101.5,1.56,0.49
04/08/2001,30.49,1.31,19.42,99.9,2.53,0.49
05/08/2001,30.34,4.22,20.08,117.2,2.12,0.49
06/08/2001,30.02,12.24,20.07,139.4,2.25,0.49
07/08/2001,29.56,2.46,19.99,122.5,2.09,0.5
08/08/2001,29.95,1.52,19.89,121.3,1.71,0.5
09/08/2001,29.01,18.97,20.93,134.4,1.73,0.51
10/08/2001,29.52,32.74,21.24,118.8,1.75,0.55
11/08/2001,30.13,6.56,21.19,119.4,1.37,0.57
12/08/2001,30.9,3.33,21.1,233.3,0.95,0.57
13/08/2001,30.24,14.56,21.5,206.9,1.1,0.57
14/08/2001,29.6,28.05,22.03,223.5,1.01,0.61
15/08/2001,30.71,7.58,21.36,76.1,0.5,0.62
16/08/2001,30.75,4.67,21.83,358.3,0.79,0.62
17/08/2001,30.03,6.94,21.75,295.1,1.61,0.61
18/08/2001,29.92,7.75,20.36,279.4,1.94,0.61
19/08/2001,28.9,0.91,18.66,270.3,1.67,0.6
20/08/2001,29.63,0.7,18.74,266.0,1.07,0.59
21/08/2001,30.95,0.39,18.5,279.9,1.17,0.58
22/08/2001,30.28,1.25,17.95,277.5,1.9,0.57
23/08/2001,29.96,0.49,17.64,271.2,1.54,0.57
24/08/2001,30.5,0.22,17.29,292.5,1.12,0.55
25/08/2001,30.39,0.07,17.73,298.6,1.68,0.54
26/08/2001,29.91,1.33,17.01,289.7,2.38,0.54
27/08/2001,29.46,0.55,15.78,273.9,2.12,0.53
28/08/2001,29.71,3.14,15.98,263.5,2.15,0.52
29/08/2001,29.49,2.18,15.77,251.7,1.26,0.52
30/08/2001,29.44,6.58,16.39,143.2,0.8,0.52
31/08/2001,30.47,2.16,17.63,356.0,0.98,0.52
01/09/2001,31.63,0.06,17.4,295.2,1.36,0.51
02/09/2001,31.86,10.5,17.5,289.6,1.3,0.51
03/09/2001,31.37,5.22,17.09,279.9,1.3,0.52
04/09/2001,31.03,0.49,16.61,310.1,1.17,0.51
05/09/2001,30.16,5.18,17.13,282.3,1.37,0.51
06/09/2001,29.76,0.92,16.58,284.1,1.62,0.51
07/09/2001,31.06,0.09,15.47,299.5,1.35,0.5
08/09/2001,30.58,0.17,15.6,335.9,1.51,0.49
09/09/2001,31.19,1.75,14.88,308.1,1.44,0.49
10/09/2001,30.17,0.26,14.13,312.3,1.88,0.48
11/09/2001,30.49,0.08,14.85,286.3,1.11,0.47
12/09/2001,31.32,0.17,15.33,312.5,1.12,0.47
13/09/2001,30.46,0.24,15.11,61.8,1.18,0.46
14/09/2001,29.62,9.12,15.59,74.1,1.37,0.47
15/09/2001,29.2,0.0,13.5,325.4,2.21,0.47
16/09/2001,28.89,0.0,12.51,317.9,1.68,0.46
17/09/2001,29.19,0.0,10.81,319.8,2.03,0.45
18/09/2001,29.89,0.0,10.49,323.3,1.43,0.45
19/09/2001,29.49,0.0,9.2,301.0,1.85,0.44
20/09/2001,29.5,0.0,9.34,339.5,1.35,0.44
21/09/2001,29.5,0.0,9.95,340.6,1.43,0.43
22/09/2001,29.25,0.0,9.68,340.1,1.62,0.43
23/09/2001,29.34,0.0,8.99,17.0,1.28,0.42
24/09/2001,29.15,0.0,9.19,52.8,0.91,0.42
25/09/2001,29.16,0.0,10.97,70.6,1.4,0.41
26/09/2001,28.98,0.0,9.3,11.6,1.23,0.41
27/09/2001,28.33,0.0,7.44,343.3,1.75,0.41
28/09/2001,28.05,0.0,8.95,81.0,1.39,0.4
29/09/2001,28.78,2.17,11.96,104.4,1.87,0.4
30/09/2001,29.85,0.35,14.72,99.1,2.09,0.4
01/10/2001,29.56,0.92,15.65,96.9,2.47,0.4
02/10/2001,29.33,0.26,14.55,100.2,2.01,0.4
03/10/2001,29.63,0.23,13.97,102.9,1.41,0.4
04/10/2001,29.61,0.72,13.95,94.1,1.05,0.39
05/10/2001,28.95,0.05,11.7,3.4,1.29,0.39
06/10/2001,27.77,0.0,7.86,14.4,1.38,0.39
07/10/2001,27.31,0.0,7.48,66.7,1.24,0.39
08/10/2001,28.08,0.0,7.13,71.3,0.87,0.38
09/10/2001,29.85,0.0,7.0,333.1,0.8,0.38
10/10/2001,28.34,0.0,6.89,4.8,1.03,0.38
11/10/2001,26.28,0.0,7.51,105.8,1.71,0.38
12/10/2001,27.14,0.21,7.89,102.3,1.3,0.37
13/10/2001,26.82,0.01,7.48,48.8,1.03,0.37
14/10/2001,25.97,0.0,6.0,329.7,1.24,0.37
15/10/2001,25.09,0.0,5.46,39.9,0.99,0.37
16/10/2001,25.15,0.0,6.07,350.7,1.09,0.36
17/10/2001,25.29,0.0,5.2,353.5,1.4,0.36
18/10/2001,25.21,0.0,4.45,327.6,1.2,0.36
19/10/2001,25.21,0.0,4.64,48.2,1.34,0.36
20/10/2001,25.37,0.0,5.07,60.2,1.18,0.36
21/10/2001,24.29,0.0,5.45,91.5,1.19,0.36
22/10/2001,24.61,0.0,5.96,76.6,1.19,0.35
23/10/2001,25.15,0.0,5.98,1.5,1.21,0.35
24/10/2001,25.32,0.0,5.25,320.9,1.25,0.35
25/10/2001,25.63,0.0,4.85,340.8,1.07,0.35
26/10/2001,24.86,0.0,5.79,70.0,1.26,0.35
27/10/2001,24.44,0.0,6.35,91.2,1.61,0.35
28/10/2001,23.99,0.0,6.7,82.8,1.3,0.35
29/10/2001,24.02,0.0,7.29,93.2,1.21,0.35
30/10/2001,24.42,0.0,7.07,49.4,1.15,0.34
31/10/2001,25.8,0.0,5.85,331.4,1.24,0.34
01/11/2001,26.12,0.0,5.36,324.2,1.15,0.34
02/11/2001,26.66,0.0,5.18,358.9,1.31,0.34
03/11/2001,25.06,0.0,4.77,145.7,1.82,0.34
04/11/2001,23.89,0.11,4.97,303.6,1.83,0.34
05/11/2001,22.57,0.0,3.72,275.0,1.17,0.34
06/11/2001,23.14,0.07,4.89,77.3,1.72,0.34
07/11/2001,23.47,0.01,6.16,56.6,1.62,0.34
08/11/2001,21.21,0.0,4.44,337.6,1.32,0.34
09/11/2001,20.85,0.0,3.3,324.3,1.8,0.34
10/11/2001,21.03,0.06,3.01,346.5,1.34,0.34
11/11/2001,20.79,0.0,3.1,13.1,1.29,0.34
12/11/2001,20.59,0.0,2.9,322.4,2.39,0.34
13/11/2001,20.82,0.0,2.7,327.8,1.55,0.34
14/11/2001,21.6,0.0,3.1,71.4,0.93,0.34
15/11/2001,20.42,0.0,3.57,103.2,1.25,0.34
16/11/2001,21.11,0.0,4.1,98.3,1.36,0.33
17/11/2001,21.57,0.0,4.05,353.7,1.07,0.33
18/11/2001,20.23,0.0,3.19,307.7,1.9,0.33
19/11/2001,20.01,0.0,2.97,325.8,1.2,0.33
20/11/2001,20.04,0.0,3.2,30.4,1.12,0.33
21/11/2001,20.87,0.0,3.19,333.8,0.89,0.33
22/11/2001,20.03,0.0,3.28,328.3,1.2,0.33
23/11/2001,18.54,0.0,2.81,308.4,2.07,0.33
24/11/2001,18.68,0.0,2.76,334.7,1.25,0.33
25/11/2001,18.86,0.0,3.18,21.4,1.09,0.33
26/11/2001,18.64,0.0,2.91,329.3,1.1,0.33
27/11/2001,17.66,0.0,3.34,34.7,1.29,0.33
28/11/2001,17.41,0.0,3.11,325.4,1.68,0.33
29/11/2001,17.12,0.0,2.95,324.3,1.25,0.33
30/11/2001,17.65,0.0,2.68,315.0,2.99,0.33
01/12/2001,17.7,0.0,2.59,309.8,2.92,0.33
02/12/2001,17.89,0.0,2.48,305.0,2.63,0.33
03/12/2001,18.66,0.0,2.68,309.6,2.12,0.33
04/12/2001,19.27,0.0,2.8,315.6,1.75,0.33
05/12/2001,19.08,0.0,2.9,309.5,1.94,0.33
06/12/2001,17.68,0.0,2.86,310.8,2.0,0.33
07/12/2001,18.9,0.0,2.99,310.9,1.97,0.33
08/12/2001,19.09,0.0,3.04,323.8,1.73,0.33
09/12/2001,18.56,0.0,2.57,309.0,2.24,0.33
10/12/2001,15.82,0.0,2.58,120.2,2.48,0.33
11/12/2001,16.2,0.15,3.65,124.6,2.71,0.33
12/12/2001,17.27,0.0,3.46,334.6,1.49,0.33
13/12/2001,17.17,0.0,2.69,308.3,2.29,0.33
14/12/2001,16.82,0.0,2.15,352.6,0.97,0.33
15/12/2001,16.69,3.02,4.3,77.7,2.2,0.34
16/12/2001,16.01,0.0,5.09,346.8,1.39,0.34
17/12/2001,15.85,0.0,4.83,318.1,1.84,0.34
18/12/2001,16.99,0.15,4.75,315.8,1.87,0.34
19/12/2001,16.52,1.33,5.37,351.6,1.65,0.34
20/12/2001,14.83,0.0,4.17,318.3,2.7,0.34
21/12/2001,13.72,0.0,3.11,311.4,1.93,0.34
22/12/2001,13.51,0.0,2.81,319.7,1.27,0.34
23/12/2001,13.53,0.0,2.67,315.5,1.28,0.34
24/12/2001,13.81,0.0,2.71,313.0,1.14,0.34
25/12/2001,15.16,0.01,3.07,41.0,0.98,0.34
26/12/2001,13.87,0.0,2.88,118.6,1.46,0.34
27/12/2001,13.39,0.0,3.26,18.2,1.03,0.34
28/12/2001,13.1,0.0,3.27,318.9,0.96,0.34
29/12/2001,12.95,0.0,3.3,325.5,1.19,0.34
30/12/2001,11.67,0.0,2.73,317.7,1.98,0.34
31/12/2001,11.56,0.0,3.05,315.1,1.95,0.34
01/01/2002,13.6,0.0,2.89,319.4,1.08,0.34
02/01/2002,13.87,0.0,2.66,335.0,1.11,0.34
03/01/2002,14.51,0.0,2.73,340.6,1.11,0.34
04/01/2002,13.53,0.0,2.72,82.0,1.2,0.34
05/01/2002,14.41,0.0,2.79,46.8,0.95,0.34
06/01/2002,13.86,0.0,2.66,22.3,1.03,0.33
07/01/2002,15.16,0.0,3.0,24.3,1.0,0.33
08/01/2002,14.18,0.0,2.86,316.8,1.24,0.33
09/01/2002,13.58,0.0,2.67,316.3,1.44,0.33
10/01/2002,12.47,0.0,2.4,306.6,1.83,0.33
11/01/2002,14.32,0.0,2.49,306.2,3.33,0.33
12/01/2002,16.13,0.0,3.49,306.4,2.71,0.33
13/01/2002,16.1,0.0,3.58,122.5,2.37,0.33
14/01/2002,15.39,0.99,3.68,120.4,2.77,0.33
15/01/2002,13.5,7.69,7.05,119.6,3.48,0.34
16/01/2002,13.98,0.0,7.34,119.3,1.87,0.35
17/01/2002,14.27,1.08,6.34,25.2,1.07,0.35
18/01/2002,14.09,0.69,5.83,333.6,1.33,0.35
19/01/2002,14.43,0.22,6.17,55.0,0.9,0.35
20/01/2002,12.55,0.09,4.11,283.9,1.28,0.35
21/01/2002,11.79,0.13,3.32,301.7,1.28,0.35
22/01/2002,12.21,0.0,4.26,299.6,1.36,0.35
23/01/2002,12.11,0.0,3.65,306.1,1.81,0.35
24/01/2002,12.57,0.0,2.78,308.2,2.6,0.35
25/01/2002,14.95,0.0,3.48,280.1,1.01,0.35
26/01/2002,15.57,0.98,4.88,84.6,1.65,0.35
27/01/2002,12.21,2.44,6.24,39.7,1.66,0.35
28/01/2002,12.91,0.64,4.66,325.5,0.96,0.35
29/01/2002,13.39,0.0,2.99,339.2,1.21,0.35
30/01/2002,12.67,0.0,2.78,324.0,1.48,0.35
31/01/2002,12.6,0.0,2.41,314.2,1.6,0.35
01/02/2002,13.89,0.0,2.35,321.0,1.65,0.35
02/02/2002,14.31,0.0,2.47,315.7,2.18,0.34
03/02/2002,12.87,0.0,2.57,310.4,2.65,0.34
04/02/2002,13.53,0.0,1.99,307.6,1.98,0.34
05/02/2002,14.46,0.08,2.56,112.9,2.07,0.34
06/02/2002,15.46,0.08,3.7,143.6,2.36,0.34
07/02/2002,14.49,2.13,3.59,171.4,2.02,0.34
08/02/2002,12.53,6.41,3.76,228.5,2.02,0.35
09/02/2002,9.92,0.46,2.37,324.5,2.03,0.35
10/02/2002,12.81,0.0,2.43,315.4,1.37,0.35
11/02/2002,10.34,26.66,6.21,120.4,1.87,0.38
12/02/2002,13.16,0.22,7.12,73.0,1.33,0.4
13/02/2002,14.42,0.02,5.16,318.7,2.24,0.4
14/02/2002,14.05,0.0,3.53,306.2,2.15,0.4
15/02/2002,14.87,0.0,3.71,303.3,2.01,0.39
16/02/2002,17.4,0.0,3.87,320.7,1.2,0.39
17/02/2002,17.17,0.0,4.74,108.4,1.43,0.39
18/02/2002,18.92,0.0,4.89,23.5,1.29,0.39
19/02/2002,19.44,0.0,4.59,324.2,2.34,0.39
20/02/2002,19.84,0.0,4.14,316.7,1.44,0.38
21/02/2002,20.7,0.0,4.37,347.4,1.31,0.38
22/02/2002,20.46,1.89,6.35,146.2,1.9,0.38
23/02/2002,20.05,2.6,7.96,65.4,2.41,0.38
24/02/2002,19.83,1.96,7.54,345.7,1.52,0.38
25/02/2002,18.39,0.22,6.66,349.6,1.44,0.38
26/02/2002,18.12,0.05,4.91,326.2,2.32,0.38
27/02/2002,18.6,0.0,4.64,319.4,2.49,0.38
28/02/2002,19.81,0.24,5.16,312.4,1.88,0.38
01/03/2002,20.62,1.7,6.02,113.6,2.01,0.38
02/03/2002,16.44,7.22,8.56,35.5,1.2,0.39
03/03/2002,17.78,0.0,6.7,319.8,2.3,0.39
04/03/2002,18.43,0.0,4.45,312.7,2.88,0.38
05/03/2002,18.35,0.0,3.67,314.0,2.15,0.38
06/03/2002,19.05,0.0,3.72,306.1,1.84,0.38
07/03/2002,19.44,0.0,3.34,38.0,0.87,0.38
08/03/2002,20.42,0.0,4.13,110.4,2.08,0.37
09/03/2002,21.18,0.34,4.99,112.8,2.68,0.37
10/03/2002,21.82,0.01,5.33,297.7,2.26,0.37
11/03/2002,20.83,0.09,4.86,316.5,3.1,0.37
12/03/2002,21.6,0.0,4.97,307.5,2.32,0.37
13/03/2002,22.5,0.0,4.86,321.9,1.47,0.36
14/03/2002,21.76,0.0,4.04,321.5,1.78,0.36
15/03/2002,22.04,0.0,4.23,310.0,2.29,0.36
16/03/2002,22.29,0.0,3.7,296.6,2.13,0.36
17/03/2002,23.91,0.0,3.91,299.0,2.07,0.35
18/03/2002,24.82,0.0,4.08,311.2,2.08,0.35
19/03/2002,26.15,0.0,4.45,307.1,1.94,0.35
20/03/2002,26.56,0.0,4.72,321.2,0.91,0.35
21/03/2002,27.05,0.03,5.86,273.2,1.72,0.35
